date,open,high,low,close,volume,36600C_open,36600C_high,36600C_low,36600C_close,36600C_volume,36600C_oi,36600P_open,36600P_high,36600P_low,36600P_close,36600P_volume,36600P_oi,36700C_open,36700C_high,36700C_low,36700C_close,36700C_volume,36700C_oi,36700P_open,36700P_high,36700P_low,36700P_close,36700P_volume,36700P_oi,36800C_open,36800C_high,36800C_low,36800C_close,36800C_volume,36800C_oi,36800P_open,36800P_high,36800P_low,36800P_close,36800P_volume,36800P_oi,36900C_open,36900C_high,36900C_low,36900C_close,36900C_volume,36900C_oi,36900P_open,36900P_high,36900P_low,36900P_close,36900P_volume,36900P_oi,37000C_open,37000C_high,37000C_low,37000C_close,37000C_volume,37000C_oi,37000P_open,37000P_high,37000P_low,37000P_close,37000P_volume,37000P_oi,37100C_open,37100C_high,37100C_low,37100C_close,37100C_volume,37100C_oi,37100P_open,37100P_high,37100P_low,37100P_close,37100P_volume,37100P_oi,37200C_open,37200C_high,37200C_low,37200C_close,37200C_volume,37200C_oi,37200P_open,37200P_high,37200P_low,37200P_close,37200P_volume,37200P_oi,37300C_open,37300C_high,37300C_low,37300C_close,37300C_volume,37300C_oi,37300P_open,37300P_high,37300P_low,37300P_close,37300P_volume,37300P_oi,37400C_open,37400C_high,37400C_low,37400C_close,37400C_volume,37400C_oi,37400P_open,37400P_high,37400P_low,37400P_close,37400P_volume,37400P_oi,37500C_open,37500C_high,37500C_low,37500C_close,37500C_volume,37500C_oi,37500P_open,37500P_high,37500P_low,37500P_close,37500P_volume,37500P_oi,37600C_open,37600C_high,37600C_low,37600C_close,37600C_volume,37600C_oi,37600P_open,37600P_high,37600P_low,37600P_close,37600P_volume,37600P_oi,37700C_open,37700C_high,37700C_low,37700C_close,37700C_volume,37700C_oi,37700P_open,37700P_high,37700P_low,37700P_close,37700P_volume,37700P_oi,37800C_open,37800C_high,37800C_low,37800C_close,37800C_volume,37800C_oi,37800P_open,37800P_high,37800P_low,37800P_close,37800P_volume,37800P_oi,37900C_open,37900C_high,37900C_low,37900C_close,37900C_volume,37900C_oi,37900P_open,37900P_high,37900P_low,37900P_close,37900P_volume,37900P_oi,38000C_open,38000C_high,38000C_low,38000C_close,38000C_volume,38000C_oi,38000P_open,38000P_high,38000P_low,38000P_close,38000P_volume,38000P_oi,38100C_open,38100C_high,38100C_low,38100C_close,38100C_volume,38100C_oi,38100P_open,38100P_high,38100P_low,38100P_close,38100P_volume,38100P_oi,38200C_open,38200C_high,38200C_low,38200C_close,38200C_volume,38200C_oi,38200P_open,38200P_high,38200P_low,38200P_close,38200P_volume,38200P_oi,38300C_open,38300C_high,38300C_low,38300C_close,38300C_volume,38300C_oi,38300P_open,38300P_high,38300P_low,38300P_close,38300P_volume,38300P_oi,38400C_open,38400C_high,38400C_low,38400C_close,38400C_volume,38400C_oi,38400P_open,38400P_high,38400P_low,38400P_close,38400P_volume,38400P_oi,38500C_open,38500C_high,38500C_low,38500C_close,38500C_volume,38500C_oi,38500P_open,38500P_high,38500P_low,38500P_close,38500P_volume,38500P_oi,38600C_open,38600C_high,38600C_low,38600C_close,38600C_volume,38600C_oi,38600P_open,38600P_high,38600P_low,38600P_close,38600P_volume,38600P_oi,38700C_open,38700C_high,38700C_low,38700C_close,38700C_volume,38700C_oi,38700P_open,38700P_high,38700P_low,38700P_close,38700P_volume,38700P_oi,38800C_open,38800C_high,38800C_low,38800C_close,38800C_volume,38800C_oi,38800P_open,38800P_high,38800P_low,38800P_close,38800P_volume,38800P_oi,38900C_open,38900C_high,38900C_low,38900C_close,38900C_volume,38900C_oi,38900P_open,38900P_high,38900P_low,38900P_close,38900P_volume,38900P_oi,39000C_open,39000C_high,39000C_low,39000C_close,39000C_volume,39000C_oi,39000P_open,39000P_high,39000P_low,39000P_close,39000P_volume,39000P_oi,39100C_open,39100C_high,39100C_low,39100C_close,39100C_volume,39100C_oi,39100P_open,39100P_high,39100P_low,39100P_close,39100P_volume,39100P_oi,39200C_open,39200C_high,39200C_low,39200C_close,39200C_volume,39200C_oi,39200P_open,39200P_high,39200P_low,39200P_close,39200P_volume,39200P_oi,39300C_open,39300C_high,39300C_low,39300C_close,39300C_volume,39300C_oi,39300P_open,39300P_high,39300P_low,39300P_close,39300P_volume,39300P_oi,timestamp,ds,time,expiry
2022-09-28 09:07:00,38081.25,38081.25,38081.25,38081.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-28 09:07:00,2022-09-28 09:07:00,09:07:00,2022-09-29
2022-09-28 09:08:00,38081.25,38081.25,38081.25,38081.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-28 09:08:00,2022-09-28 09:08:00,09:08:00,2022-09-29
2022-09-28 09:09:00,38081.25,38081.25,38081.25,38081.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-28 09:09:00,2022-09-28 09:09:00,09:09:00,2022-09-29
2022-09-28 09:10:00,38081.25,38081.25,38081.25,38081.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-28 09:10:00,2022-09-28 09:10:00,09:10:00,2022-09-29
2022-09-28 09:11:00,38081.25,38081.25,38081.25,38081.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-28 09:11:00,2022-09-28 09:11:00,09:11:00,2022-09-29
2022-09-28 09:12:00,38081.25,38081.25,38081.25,38081.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-28 09:12:00,2022-09-28 09:12:00,09:12:00,2022-09-29
2022-09-28 09:13:00,38081.25,38081.25,38081.25,38081.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-28 09:13:00,2022-09-28 09:13:00,09:13:00,2022-09-29
2022-09-28 09:14:00,38081.25,38081.25,38081.25,38081.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-28 09:14:00,2022-09-28 09:14:00,09:14:00,2022-09-29
2022-09-28 09:15:00,38088.4,38088.4,37983.05,38013.5,0.0,1746.05,1746.05,1500.0,1500.0,75.0,800.0,19.7,25.35,18.75,25.0,65125.0,0.0,1692.15,1692.15,1372.75,1372.9,250.0,900.0,10.2,29.95,10.2,29.6,88550.0,190975.0,1630.65,1630.65,1283.45,1283.45,200.0,600.0,21.0,36.25,21.0,35.25,106100.0,0.0,1648.9,1648.9,1205.6,1209.4,100.0,2150.0,15.0,43.1,15.0,41.55,99750.0,206950.0,1615.0,1615.0,1080.4,1098.9,7375.0,52450.0,34.9,52.15,34.9,50.0,482525.0,0.0,1498.75,1498.75,1000.0,1016.3,875.0,3725.0,40.0,63.25,40.0,59.7,137400.0,0.0,1410.0,1410.0,914.8,923.6,1425.0,2150.0,35.65,76.05,35.65,71.65,190275.0,0.0,1290.85,1290.85,828.5,832.35,1375.0,15950.0,60.0,92.1,60.0,86.4,233550.0,0.0,1231.4,1231.4,752.15,757.45,500.0,7275.0,98.8,111.0,85.5,104.4,181675.0,0.0,1135.0,1135.0,664.45,678.0,19500.0,40875.0,100.05,132.25,100.05,126.2,697350.0,0.0,1041.8,1041.8,589.7,598.0,3250.0,14450.0,85.0,157.85,85.0,150.65,201400.0,0.0,952.0,952.0,522.2,526.8,16125.0,19575.0,151.9,187.25,147.0,178.3,293275.0,0.0,400.35,552.75,400.35,460.0,71050.0,0.0,140.2,221.55,140.2,212.15,479850.0,0.0,450.0,538.75,394.05,399.15,124175.0,0.0,96.95,260.5,96.95,249.1,499700.0,322625.0,400.5,400.5,321.15,340.85,885300.0,0.0,248.55,302.45,240.9,291.85,2009100.0,0.0,394.7,394.7,285.85,290.0,416625.0,0.0,297.3,351.35,265.0,341.35,636150.0,0.0,301.05,307.45,240.1,243.9,364150.0,0.0,307.05,406.55,307.05,395.1,549250.0,0.0,270.4,270.4,198.85,202.65,324875.0,0.0,362.1,463.7,362.1,454.2,399525.0,0.0,227.7,227.7,163.05,166.15,264100.0,309350.0,444.05,529.75,444.05,516.05,386700.0,0.0,190.0,190.0,132.35,135.5,742700.0,0.0,486.95,598.4,486.95,584.95,442175.0,0.0,152.0,153.4,107.9,110.5,332325.0,844075.0,531.75,674.85,531.75,660.65,221375.0,0.0,189.0,189.0,88.25,89.75,341775.0,0.0,560.0,753.85,560.0,740.45,141000.0,0.0,112.4,112.4,72.35,73.9,386825.0,1087100.0,575.3,843.0,575.3,822.3,74575.0,0.0,142.5,142.5,59.45,60.35,299825.0,920850.0,650.0,924.15,650.0,910.9,17900.0,0.0,73.7,73.7,49.3,50.25,873225.0,2860150.0,820.0,1019.15,820.0,996.8,83975.0,0.0,135.85,135.85,42.2,42.85,240925.0,788725.0,644.5,1105.6,644.5,1096.35,15350.0,99475.0,52.45,52.45,35.9,36.8,278750.0,0.0,703.4,1200.0,703.4,1183.6,10450.0,113475.0,58.0,58.0,31.25,31.75,320475.0,0.0,790.0,1293.75,790.0,1282.8,2325.0,111650.0,2022-09-28 09:15:00,2022-09-28 09:15:00,09:15:00,2022-09-29
2022-09-28 09:16:00,38008.25,38008.25,37945.15,37989.9,0.0,1466.55,1466.95,1466.55,1466.95,100.0,800.0,25.1,31.25,24.9,29.3,68500.0,0.0,1369.3,1375.85,1348.0,1375.85,275.0,900.0,29.55,37.05,29.2,34.95,80725.0,190975.0,1283.0,1313.8,1247.9,1313.8,400.0,600.0,35.3,43.5,34.8,40.6,111175.0,0.0,1182.8,1183.3,1172.85,1182.0,250.0,2150.0,41.8,51.15,41.25,48.0,129425.0,206950.0,1093.55,1104.9,1050.0,1104.9,4450.0,52450.0,51.0,60.95,49.8,57.6,564075.0,0.0,997.95,1006.6,967.05,1006.6,950.0,3725.0,60.8,72.0,59.15,68.05,130550.0,0.0,921.75,921.75,877.15,912.9,1250.0,2150.0,71.95,85.9,70.8,79.8,196775.0,0.0,816.7,834.95,795.1,825.25,1275.0,15950.0,87.45,102.4,86.25,96.4,257900.0,0.0,756.55,756.55,722.9,753.55,2550.0,7275.0,105.85,122.45,104.15,113.25,207175.0,0.0,666.95,675.4,636.0,666.95,41500.0,40875.0,126.4,145.8,125.5,137.2,713350.0,0.0,594.05,602.05,561.8,591.5,13700.0,14450.0,151.15,173.55,150.5,162.15,226525.0,0.0,529.5,531.7,492.15,521.2,19875.0,19575.0,181.4,204.5,179.45,193.25,284075.0,0.0,459.8,463.85,427.25,455.75,90625.0,0.0,214.1,239.95,211.25,230.9,515350.0,0.0,398.2,401.45,368.15,394.75,131325.0,0.0,252.25,281.3,250.1,268.5,513575.0,322625.0,337.0,344.75,314.65,338.35,808525.0,0.0,294.2,325.2,291.35,313.5,1804425.0,0.0,289.15,293.0,264.7,288.4,313750.0,0.0,343.0,377.45,341.6,361.85,494850.0,0.0,240.3,246.65,221.25,242.8,302175.0,0.0,398.75,434.65,395.15,419.7,458150.0,0.0,202.05,204.4,182.7,201.05,343100.0,0.0,456.55,496.0,455.1,474.95,311275.0,0.0,164.6,167.2,149.45,164.5,221325.0,309350.0,520.45,559.0,516.6,541.95,211025.0,0.0,132.8,136.45,120.35,134.05,620750.0,0.0,587.6,632.2,587.6,606.0,267500.0,0.0,109.5,110.85,98.1,109.55,316325.0,844075.0,665.0,709.2,663.1,684.95,113325.0,0.0,87.85,90.05,78.95,88.75,306550.0,0.0,740.95,790.2,740.95,762.0,69000.0,0.0,72.2,73.65,64.85,72.1,275400.0,1087100.0,832.55,875.25,823.35,848.25,25100.0,0.0,60.25,60.25,52.9,59.15,260800.0,920850.0,916.45,959.85,912.8,927.75,13875.0,0.0,49.5,49.65,44.2,48.65,652325.0,2860150.0,1002.9,1051.45,1001.4,1025.25,41950.0,0.0,42.55,42.55,37.5,41.4,201725.0,788725.0,1102.95,1146.2,1094.95,1107.7,3825.0,99475.0,35.7,35.75,32.1,35.1,206775.0,0.0,1187.95,1237.7,1187.7,1206.2,3300.0,113475.0,31.4,31.6,28.1,30.55,283525.0,0.0,1285.0,1325.6,1285.0,1300.0,6725.0,111650.0,2022-09-28 09:16:00,2022-09-28 09:16:00,09:16:00,2022-09-29
